event_id,user_id,timestamp,event_type,device,location,amount,status,session_id,device_is_null,location_is_null,amount_is_null,status_is_null
EVT1000,USR5506,2027-04-08 12:28:13,view,mobile,Chennai,939,success,SES4582,0,0,0,0
EVT1001,USR4257,2026-04-08 12:28:14,login,web,Pune,3536,SUCCESS,SES6574,0,0,0,0
EVT1002,USR6514,2026-04-08 12:28:15,error,,Delhi,3040,success,SES7201,1,0,0,0
EVT1003,USR5803,invalid_date,logout,tablet,Chennai,,failed,SES2654,0,0,1,0
EVT1004,USR6977,2026-04-08 12:28:17,error,web,Delhi,2287,,SES5010,0,0,0,1
EVT1005,USR4598,2026-04-08 12:28:18,purchase,mobile,Bangalore,abc, ,SES6155,0,0,0,0
EVT1006,USR8517,2026-04-08 12:28:19,click,,Hyderabad,4698,failed,SES3266,1,0,0,0
EVT1007,USR1771,2027-04-08 12:28:13,view,,Mumbai,1410, ,SES5119,1,0,0,0
EVT1008,USR1188,2026-04-08 12:28:21,purchase,,Bangalore,4498,SUCCESS,SES1053,1,0,0,0
EVT1009,USR5315,2026-04-08 12:28:22,error,,Delhi,4258,failed,SES3504,1,0,0,0
EVT1010,USR9689,2026-04-08 12:28:23,purchase,web,Chennai,-476,failed,SES2290,0,0,0,0
EVT1011,USR8962,invalid_date,click,web,Hyderabad,4463, ,SES7932,0,0,0,0
EVT1012,USR4295,2026-04-08 12:28:25,logout,mobile,Hyderabad,3159,success,SES4770,0,0,0,0
EVT1013,USR1964,2027-04-08 12:28:13,click,web,Pune,-122, ,SES8744,0,0,0,0
EVT1014,USR7669,2026-04-08 12:28:27,login,mobile,Chennai,3631,SUCCESS,SES6559,0,0,0,0
EVT1015,USR4139,2026-04-08 12:28:28,login,,,3556, ,SES2604,1,1,0,0
EVT1016,USR9856,invalid_date,view,mobile,Bangalore,2036,SUCCESS,SES1035,0,0,0,0
EVT1017,USR8454,2026-04-08 12:28:30,logout,mobile,Delhi,4652,,SES9883,0,0,0,1
EVT1018,USR8454,invalid_date,click,mobile,,4219,failed,SES2122,0,1,0,0
EVT1019,USR4853,2026-04-08 12:28:32,view,,Delhi,4766, ,SES6183,1,0,0,0
EVT1020,USR6147,2026-04-08 12:28:33,login,,Delhi,2557, ,SES2638,1,0,0,0
EVT1021,USR4492,invalid_date,logout,,,2959, ,SES5956,1,1,0,0
EVT1022,USR4492,2026-04-08 12:28:35,purchase,mobile,Chennai,2552,,SES3546,0,0,0,1
EVT1023,USR6617,2026-04-08 12:28:36,login,mobile,Pune,2262,SUCCESS,SES5533,0,0,0,0
EVT1024,USR6464,invalid_date,click,mobile,Chennai,2245,success,SES3442,0,0,0,0
EVT1025,USR6464,2026-04-08 12:28:38,purchase,web,Pune,3087,failed,SES2684,0,0,0,0
EVT1026,USR7658,2026-04-08 12:28:39,view,mobile,Bangalore,2039,,SES6442,0,0,0,1
EVT1027,USR5065,2026-04-08 12:28:40,logout,,Hyderabad,abc,pending,SES4728,1,0,0,0
EVT1028,USR7528,2026-04-08 12:28:41,click,tablet,Chennai,2386,success,SES5279,0,0,0,0
EVT1029,USR7528,2026-04-08 12:28:42,click,mobile,Mumbai,2931, ,SES4114,0,0,0,0
EVT1030,USR1027,2026-04-08 12:28:43,purchase,,Hyderabad,1714,,SES3041,1,0,0,1
EVT1031,USR6067,2026-04-08 12:28:44,view,web,Delhi,2522, ,SES5930,0,0,0,0
EVT1032,USR5978,2026-04-08 12:28:45,error,web,Delhi,4851,SUCCESS,SES3780,0,0,0,0
EVT1033,USR5978,2026-04-08 12:28:46,login,mobile,Bangalore,2024,SUCCESS,SES2193,0,0,0,0
EVT1034,USR4185,2026-04-08 12:28:47,login,,Bangalore,,failed,SES9486,1,0,1,0
EVT1035,USR2988,2026-04-08 12:28:48,view,,,4451,,SES9270,1,1,0,1
EVT1036,USR8305,2026-04-08 12:28:49,purchase,,Mumbai,3988,,SES4919,1,0,0,1
EVT1037,USR5681,2027-04-08 12:28:13,error,web,Chennai,-78,SUCCESS,SES7678,0,0,0,0
EVT1038,USR2020,2026-04-08 12:28:51,click,,Mumbai,abc,success,SES6763,1,0,0,0
EVT1039,USR7865,2026-04-08 12:28:52,view,tablet,Pune,1906,,SES7624,0,0,0,1
EVT1040,USR3091,2026-04-08 12:28:53,view,web,,3327,SUCCESS,SES3977,0,1,0,0
EVT1041,USR7211,invalid_date,view,tablet,,2864,success,SES8705,0,1,0,0
EVT1042,USR7211,invalid_date,login,web,Bangalore,1936,success,SES3496,0,0,0,0
EVT1043,USR2874,2026-04-08 12:28:56,error,mobile,,2199,failed,SES6096,0,1,0,0
EVT1044,USR6111,2027-04-08 12:28:13,error,web,Chennai,3174,,SES5941,0,0,0,1
EVT1045,USR2983,2026-04-08 12:28:58,click,tablet,Chennai,436,SUCCESS,SES9031,0,0,0,0
EVT1046,USR8532,2026-04-08 12:28:59,click,,Mumbai,4374,SUCCESS,SES5397,1,0,0,0
EVT1047,USR2419,2026-04-08 12:29:00,view,tablet,Bangalore,3906,SUCCESS,SES4475,0,0,0,0
EVT1048,USR5581,2026-04-08 12:29:01,logout,,Mumbai,2363, ,SES4937,1,0,0,0
EVT1049,USR5581,2026-04-08 12:29:02,click,tablet,Mumbai,2510, ,SES9698,0,0,0,0
EVT1050,USR6419,2026-04-08 12:29:03,login,,,2611,,SES4033,1,1,0,1
EVT1051,USR5530,2026-04-08 12:29:04,purchase,web,Hyderabad,4397,failed,SES5952,0,0,0,0
EVT1052,USR5530,invalid_date,view,mobile,,546,success,SES5658,0,1,0,0
